TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ
55651537,0.308149158955,0.858344733715,-9.81362533569,0.00646010134369,0.0139301810414,-0.0241458229721,-0.0780447199941,-0.00668530957773,0.494254618883
55663101,0.3105224967,0.870297729969,-9.80191230774,0.00646010134369,0.0139301810414,-0.0241458229721,-0.0780447199941,-0.00668530957773,0.494254618883
55675498,0.308149158955,0.855954170227,-9.82299613953,0.00646010134369,0.0128659624606,-0.0241458229721,-0.0780447199941,0.00330011779442,0.494254618883
55688031,0.289162546396,0.865516483784,-9.80191230774,0.00539588183165,0.0128659624606,-0.0241458229721,-0.0790070816875,0.000576822145376,0.483719795942
55699461,0.29153585434,0.867907106876,-9.81596851349,0.00539588183165,0.0128659624606,-0.0252100415528,-0.0597599111497,-0.000330948038027,0.483719795942
55711289,0.289162546396,0.858344733715,-9.80659770966,0.00646010134369,0.0128659624606,-0.0241458229721,-0.0780447199941,0.00602342840284,0.487550675869
55723494,0.284415900707,0.84161055088,-9.80191230774,0.00539588183165,0.0128659624606,-0.0241458229721,-0.0790070816875,0.00239236257039,0.494254618883
55735512,0.30102917552,0.846391797066,-9.7948846817,0.00646010134369,0.0128659624606,-0.0241458229721,-0.0818941369653,0.00239236257039,0.490423828363
55747944,0.29153585434,0.855954170227,-9.81596851349,0.00646010134369,0.0128659624606,-0.0241458229721,-0.0790070816875,0.000576822145376,0.484677523375
55759562,0.296282500029,0.858344733715,-9.83939361572,0.00646010134369,0.0128659624606,-0.0252100415528,-0.0741952732205,0.00511565804482,0.484677523375
55771367,0.284415900707,0.846391797066,-9.80191230774,0.00752432178706,0.0128659624606,-0.0241458229721,-0.0722705498338,0.00874672457576,0.490423828363
55784878,0.289162546396,0.877469480038,-9.79957008362,0.00646010134369,0.0128659624606,-0.0252100415528,-0.0741952732205,0.00420788815245,0.480846643448
55796123,0.303402483463,0.860735297203,-9.79957008362,0.00752432178706,0.0128659624606,-0.0252100415528,-0.0780447199941,0.00330011779442,0.484677523375
55808060,0.282042562962,0.872688293457,-9.80659770966,0.00646010134369,0.0128659624606,-0.0252100415528,-0.0799694135785,0.00511565804482,0.490423828363
55819548,0.30102917552,0.851172983646,-9.82768058777,0.00646010134369,0.0128659624606,-0.0241458229721,-0.0799694135785,0.00693119876087,0.490423828363
55831470,0.315269142389,0.851172983646,-9.76443195343,0.00646010134369,0.0128659624606,-0.0252100415528,-0.0655340477824,0.00783895421773,0.490423828363
55843492,0.298655837774,0.863125920296,-9.81362533569,0.00752432178706,0.0128659624606,-0.0241458229721,-0.0636093243957,0.00511565804482,0.494254618883
55855510,0.289162546396,0.863125920296,-9.82065296173,0.00858854036778,0.0128659624606,-0.0241458229721,-0.064571686089,0.00420788815245,0.488508403301
